iso3,country,year,GII
AZE,Azerbaijan,2024,21.3
BDI,Burundi,2024,13.21
BEL,Belgium,2024,47.73
BEN,Benin,2024,15.44
BFA,Burkina Faso,2024,12.76
BGD,Bangladesh,2024,19.11
BGR,Bulgaria,2024,38.49
BHR,Bahrain,2024,27.64
BIH,Bosnia and Herzegovina,2024,25.47
BLR,Belarus,2024,24.21
BOL,Bolivia (Plurinational State of),2024,20.25
BRA,Brazil,2024,32.74
BRB,Barbados,2024,26.05
BRN,Brunei Darussalam,2024,22.77
BWA,Botswana,2024,23.08
CAN,Canada,2024,52.91
CHE,Switzerland,2024,67.47
CHL,Chile,2024,32.62
CHN,China,2024,56.32
CIV,Côte d'Ivoire,2024,17.49
CMR,Cameroon,2024,14.42
COL,Colombia,2024,29.18
CPV,Cabo Verde,2024,22.29
CRI,Costa Rica,2024,28.33
CYP,Cyprus,2024,45.07
CZE,Czech Republic,2024,44.04
DEU,Germany,2024,58.08
DNK,Denmark,2024,57.11
DOM,Dominican Republic,2024,20.82
DZA,Algeria,2024,16.16
ECU,Ecuador,2024,19.33
EGY,Egypt,2024,23.65
ESP,Spain,2024,44.93
EST,Estonia,2024,52.31
ETH,Ethiopia,2024,12.33
FIN,Finland,2024,59.44
FRA,France,2024,55.41
GBR,United Kingdom,2024,61.05
GEO,Georgia,2024,30.39
GHA,Ghana,2024,20.03
GRC,Greece,2024,36.15
GTM,Guatemala,2024,14.56
HKG,"Hong Kong, China",2024,50.14
HND,Honduras,2024,16.74
HRV,Croatia,2024,36.34
HUN,Hungary,2024,39.57
IDN,Indonesia,2024,30.62
IND,India,2024,38.31
IRL,Ireland,2024,49.96
IRN,Iran (Islamic Republic of),2024,28.88
ISL,Iceland,2024,48.54
ISR,Israel,2024,52.73
ITA,Italy,2024,45.33
JAM,Jamaica,2024,25.67
JOR,Jordan,2024,27.45
JPN,Japan,2024,54.12
KAZ,Kazakhstan,2024,25.67
KEN,Kenya,2024,20.99
KGZ,Kyrgyzstan,2024,20.35
KHM,Cambodia,2024,19.89
KOR,Republic of Korea,2024,60.93
KWT,Kuwait,2024,28.09
LAO,Lao People's Democratic Republic,2024,17.84
LBN,Lebanon,2024,21.54
LKA,Sri Lanka,2024,22.6
LTU,Lithuania,2024,40.06
LUX,Luxembourg,2024,49.09
LVA,Latvia,2024,36.35
MAR,Morocco,2024,28.79
MDA,Republic of Moldova,2024,28.68
MDG,Madagascar,2024,17.93
MEX,Mexico,2024,30.45
MKD,North Macedonia,2024,29.89
MLI,Mali,2024,11.79
MLT,Malta,2024,44.83
MMR,Myanmar,2024,13.77
MNE,Montenegro,2024,28.87
MNG,Mongolia,2024,28.69
MOZ,Mozambique,2024,13.11
MRT,Mauritania,2024,13.21
MUS,Mauritius,2024,30.56
MYS,Malaysia,2024,40.48
NAM,Namibia,2024,19.96
NER,Niger,2024,11.23
NGA,Nigeria,2024,17.11
NIC,Nicaragua,2024,13.99
NLD,Netherlands (Kingdom of the),2024,58.83
NOR,Norway,2024,49.06
NPL,Nepal,2024,18.06
NZL,New Zealand,2024,45.86
OMN,Oman,2024,27.13
PAK,Pakistan,2024,22.01
PAN,Panama,2024,24.74
PER,Peru,2024,26.7
PHL,Philippines,2024,31.13
POL,Poland,2024,37.0
PRT,Portugal,2024,43.66
PRY,Paraguay,2024,21.85
QAT,Qatar,2024,32.89
ROU,Romania,2024,33.4
RUS,Russian Federation,2024,29.73
RWA,Rwanda,2024,19.69
SAU,Saudi Arabia,2024,33.93
SEN,Senegal,2024,21.97
SGP,Singapore,2024,61.18
SLV,El Salvador,2024,20.61
SRB,Serbia,2024,32.25
SVK,Slovakia,2024,34.31
SVN,Slovenia,2024,40.17
SWE,Sweden,2024,64.52
TGO,Togo,2024,15.62
THA,Thailand,2024,36.89
TJK,Tajikistan,2024,18.6
TTO,Trinidad and Tobago,2024,18.41
TUN,Tunisia,2024,25.35
TUR,Türkiye,2024,39.0
TZA,United Republic of Tanzania,2024,15.33
UGA,Uganda,2024,14.94
UKR,Ukraine,2024,29.5
URY,Uruguay,2024,29.13
USA,United States of America,2024,62.38
UZB,Uzbekistan,2024,24.7
VNM,Viet Nam,2024,36.18
ZAF,South Africa,2024,28.34
ZMB,Zambia,2024,15.66
ZWE,Zimbabwe,2024,15.57
